Latitude;Species;Order;TPC (%DW);SD;Reference
44°N;Costaria costata;Laminariales;0.34;0.02;Van Alstyne et al. 1999a
44°N;Costaria costata (adult);Laminariales;0.18;n.g.;Van Alstyne et al. 2001
44°N;Costaria costata (juvenile);Laminariales;0.18;n.g.;Van Alstyne et al. 2001
44°N;Egregia menziesii;Laminariales;1.62;1.16;Van Alstyne et al. 1999a
44°N;Egregia menziesii (adult);Laminariales;0.27;n.g.;Van Alstyne et al. 2001
44°N;Egregia menziesii (blade);Laminariales;1.80;1.40;Van Alstyne et al. 1999b
44°N;Egregia menziesii (juvenile);Laminariales;0.77;n.g.;Van Alstyne et al. 2001
44°N;Egregia menziesii (meristem);Laminariales;4.40;1.50;Van Alstyne et al. 1999b
44°N;Fucus distichus;Fucales;30.40;n.g.;Zhang et al. 2006
44°N;Fucus evanescens;Fucales;23.85;n.g.;Zhang et al. 2006
44°N;Fucus gardneri;Fucales;5.21;0.77;Van Alstyne et al. 1999a
44°N;Fucus gardneri (adult);Fucales;2.95;n.g.;Van Alstyne et al. 2001
44°N;Fucus gardneri (juvenile);Fucales;4.04;n.g.;Van Alstyne et al. 2001
44°N;Fucus spiralis;Fucales;4.30;0.57;Van Alstyne et al. 1999a
44°N;Fucus spiralis (adult);Fucales;3.27;n.g.;Van Alstyne et al. 2001
44°N;Fucus spiralis (juvenile);Fucales;3.00;n.g.;Van Alstyne et al. 2001
44°N;Fucus vesiculosus;Fucales;23.21;n.g.;Zhang et al. 2006
44°N;Hedophyllum sessile;Laminariales;1.44;2.23;Van Alstyne et al. 1999a
44°N;Hedophyllum sessile (adult);Laminariales;0.45;n.g.;Van Alstyne et al. 2001
44°N;Hedophyllum sessile (juvenile);Laminariales;1.04;n.g.;Van Alstyne et al. 2001
44°N;Laminaria dentigera;Laminariales;0.32;0.19;Van Alstyne et al. 1999a
44°N;Laminaria saccharina;Laminariales;2.17;n.g.;Zhang et al. 2006
44°N;Lessoniopsis littoralis;Laminariales;0.28;0.06;Van Alstyne et al. 1999a
44°N;Lessoniopsis littoralis (adult);Laminariales;0.18;n.g.;Van Alstyne et al. 2001
44°N;Lessoniopsis littoralis (juvenile);Laminariales;1.36;n.g.;Van Alstyne et al. 2001
44°N;Nereocystis luetkeana (adult);Laminariales;0.28;n.g.;Van Alstyne et al. 2001
44°N;Nereocystis luetkeana (juvenile);Laminariales;0.18;n.g.;Van Alstyne et al. 2001
44°N;Pelvetiopsis limitata;Fucales;4.41;0.54;Van Alstyne et al. 1999a
45°N;Ascophyllum nodosum;Fucales;3.03;0.54;Targett et al. 1992
45°N;Fucus vesiculosus (1.8±0.8cm);Fucales;7.30;0.63;Denton et al. 1990
45°N;Fucus vesiculosus (32.5±7.5cm);Fucales;12.83;4.00;Denton et al. 1990
47°N;Agarum fimbriatum;Laminariales;4.08;0.52;Denton et al. 1990
47°N;Ascophyllum nodosum;Fucales;4.80;0.50;Connan et al. 2006
47°N;Fucus distichus;Fucales;4.12;0.38;Targett et al. 1992
47°N;Fucus vesiculosus;Fucales;4.71;1.60;Targett et al. 1992
47°N;Laminaria digitata;Laminariales;0.20;0.10;Connan et al. 2006
47°N;Laminaria hyperborea;Laminariales;2.60;1.50;Connan et al. 2006
47°N;Nereocystis luetkeana;Laminariales;0.52;0.01;Targett et al. 1992
47°N;Sargassum muticum;Fucales;1.11;0.11;Plouguerné et al. 2006
48°N;Agarum fimbriatum;Laminariales;3.24;1.14;Van Alstyne et al. 1999a
48°N;Agarum fimbriatum (blade);Laminariales;7.20;2.76;Hammerstrom et al. 1998
48°N;Agarum fimbriatum (holdfast);Laminariales;4.74;1.37;Hammerstrom et al. 1998
48°N;Agarum fimbriatum (stipe single event);Laminariales;14.22;3.67;Hammerstrom et al. 1998
48°N;Agarum fimbriatum (stipe);Laminariales;7.58;1.72;Hammerstrom et al. 1998
48°N;Alaria marginata;Laminariales;1.35;0.19;Van Alstyne & Paul 1990
48°N;Alaria marginata;Laminariales;0.55;0.25;Van Alstyne et al. 1999a
48°N;Alaria marginata;Laminariales;1.59;0.67;Van Alstyne et al. 1999a
48°N;Alaria marginata;Laminariales;2.96;0.50;Van Alstyne et al. 1999a
48°N;Alaria marginata (blade);Laminariales;0.44;0.15;Van Alstyne et al. 1999b
48°N;Alaria marginata (blade);Laminariales;1.44;0.26;Van Alstyne et al. 1999b
48°N;Alaria marginata (blade);Laminariales;3.08;1.28;Van Alstyne et al. 1999b
48°N;Alaria marginata (meristem);Laminariales;0.67;0.36;Van Alstyne et al. 1999b
48°N;Alaria marginata (meristem);Laminariales;1.90;1.74;Van Alstyne et al. 1999b
48°N;Alaria marginata (meristem);Laminariales;4.36;1.08;Van Alstyne et al. 1999b
48°N;Alaria marginata (reproductive);Laminariales;1.18;0.46;Van Alstyne et al. 1999b
48°N;Alaria marginata (reproductive);Laminariales;2.05;0.82;Van Alstyne et al. 1999b
48°N;Alaria nana;Laminariales;0.92;0.15;Van Alstyne et al. 1999a
48°N;Alaria nana (blade);Laminariales;0.87;0.36;Van Alstyne et al. 1999b
48°N;Alaria nana (meristem);Laminariales;1.20;0.36;Van Alstyne et al. 1999b
48°N;Alaria nana (reproductive);Laminariales;0.80;0.51;Van Alstyne et al. 1999b
48°N;Ascophyllum nodosum;Fucales;5.75;n.g.;Connan et al. 2004
48°N;Ascophyllum nodosum;Fucales;6.00;n.g.;Connan et al. 2007
48°N;Ascophyllum nodosum;Fucales;21.42;n.g.;Keyrouz et al. 2011
48°N;Bifurcaria bifurcata;Fucales;3.73;n.g.;Connan et al. 2004
48°N;Bifurcaria bifurcata;Fucales;4.00;n.g.;Connan et al. 2007
48°N;Costaria costata;Laminariales;0.71;0.19;Van Alstyne & Paul 1990
48°N;Costaria costata;Laminariales;0.35;0.05;Van Alstyne et al. 1999a
48°N;Cymanthere triplicata;Laminariales;0.35;0.02;Van Alstyne et al. 1999a
48°N;Cymanthere triplicata;Laminariales;0.38;0.03;Van Alstyne et al. 1999a
48°N;Egregia menziesii;Laminariales;0.25;0.03;Van Alstyne & Paul 1990
48°N;Egregia menziesii;Laminariales;0.33;0.11;Van Alstyne et al. 1999a
48°N;Egregia menziesii;Laminariales;0.36;0.07;Van Alstyne et al. 1999a
48°N;Egregia menziesii (blade);Laminariales;0.30;0.10;Van Alstyne et al. 1999b
48°N;Egregia menziesii (blade);Laminariales;0.35;0.15;Van Alstyne et al. 1999b
48°N;Egregia menziesii (meristem);Laminariales;0.25;0.05;Van Alstyne et al. 1999b
48°N;Egregia menziesii (meristem);Laminariales;0.35;0.10;Van Alstyne et al. 1999b
48°N;Fucus distichus;Fucales;5.36;1.48;Van Alstyne & Paul 1990
48°N;Fucus distichus;Fucales;9.64;2.09;Van Alstyne 1988
48°N;Fucus gardneri;Fucales;4.59;0.71;Van Alstyne et al. 1999a
48°N;Fucus gardneri;Fucales;3.55;0.41;Van Alstyne et al. 1999a
48°N;Fucus serratus;Fucales;4.27;n.g.;Connan et al. 2004
48°N;Fucus serratus;Fucales;12.36;n.g.;Keyrouz et al. 2011
48°N;Fucus spiralis;Fucales;3.88;n.g.;Connan et al. 2004
48°N;Fucus spiralis;Fucales;1.55;0.26;Van Alstyne et al. 1999a
48°N;Fucus vesiculosus;Fucales;5.93;n.g.;Connan et al. 2004
48°N;Fucus vesiculosus;Fucales;1.43;0.52;Creis et al. 2015
48°N;Fucus vesiculosus;Fucales;22.71;n.g.;Keyrouz et al. 2011
48°N;Hedophyllum sessile;Laminariales;1.96;0.55;Van Alstyne & Paul 1990
48°N;Hedophyllum sessile;Laminariales;0.31;0.10;Van Alstyne et al. 1999a
48°N;Hedophyllum sessile;Laminariales;2.76;0.23;Van Alstyne et al. 1999a
48°N;Hedophyllum sessile (field blade);Laminariales;4.92;1.06;Hammerstrom et al. 1998
48°N;Hedophyllum sessile (field holdfast);Laminariales;4.68;0.98;Hammerstrom et al. 1998
48°N;Hedophyllum sessile (relocated blade);Laminariales;5.35;0.93;Hammerstrom et al. 1998
48°N;Himanthalia elongata;Fucales;2.17;n.g.;Connan et al. 2004
48°N;Laminaria complanata;Laminariales;2.26;1.00;Van Alstyne et al. 1999a
48°N;Laminaria complanata (stipe);Laminariales;2.25;0.51;Hammerstrom et al. 1998
48°N;Laminaria dentigera;Laminariales;0.72;0.50;Van Alstyne & Paul 1990
48°N;Laminaria digitata;Laminariales;0.13;n.g.;Connan et al. 2004
48°N;Laminaria groenlandica;Laminariales;1.08;0.86;Van Alstyne et al. 1999a
48°N;Laminaria groenlandica;Laminariales;0.85;0.04;Van Alstyne et al. 1999a
48°N;Laminaria groenlandica (adult blade);Laminariales;1.27;0.34;Hammerstrom et al. 1998
48°N;Laminaria groenlandica (adult stipe);Laminariales;3.12;1.07;Hammerstrom et al. 1998
48°N;Laminaria groenlandica (juvenile blade);Laminariales;1.65;0.34;Hammerstrom et al. 1998
48°N;Laminaria setchelli;Laminariales;0.44;0.49;Van Alstyne et al. 1999a
48°N;Nereocystis luetkeana;Laminariales;0.59;0.07;Van Alstyne & Paul 1990
48°N;Pelvetia canaliculata;Fucales;3.39;n.g.;Connan et al. 2004
48°N;Pelvetia canaliculata;Fucales;3.00;n.g.;Connan et al. 2007
48°N;Pelvetiopsis limitata;Fucales;11.12;1.93;Van Alstyne & Paul 1990
48°N;Pelvetiopsis limitata;Fucales;2.75;0.90;Van Alstyne et al. 1999a
48°N;Pleurophycus gardneri (blade);Laminariales;5.44;1.65;Hammerstrom et al. 1998
48°N;Pleurophycus gardneri (holdfast);Laminariales;4.55;1.20;Hammerstrom et al. 1998
48°N;Pleurophycus gardneri (stipe);Laminariales;7.04;2.49;Hammerstrom et al. 1998
48°N;Postelsia palmaeformis;Laminariales;0.49;0.49;Van Alstyne & Paul 1990
48°N;Sargassum muticum;Fucales;4.90;2.90;Connan et al. 2006
48°N;Sargassum muticum;Fucales;1.85;0.09;Plouguerné et al. 2006
48°N;Sargassum muticum;Fucales;1.39;0.10;Plouguerné et al. 2006
48°N;Sargassum muticum;Fucales;1.26;0.11;Tanniou et al. 2014
51°N;Eualaria fistulosa (barren areas);Laminariales;2.00;0.82;Schuster & Konar 2014
51°N;Eualaria fistulosa (barren areas);Laminariales;1.75;1.48;Schuster & Konar 2014
51°N;Eualaria fistulosa (barren areas);Laminariales;3.34;0.16;Schuster & Konar 2014
51°N;Eualaria fistulosa (barren areas);Laminariales;3.06;0.82;Schuster & Konar 2014
51°N;Eualaria fistulosa (barren areas);Laminariales;1.47;1.06;Schuster & Konar 2014
51°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;2.81;0.74;Schuster & Konar 2014
51°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.44;1.65;Schuster & Konar 2014
51°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.66;0.33;Schuster & Konar 2014
51°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.94;0.82;Schuster & Konar 2014
51°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.13;2.49;Schuster & Konar 2014
52°N;Eualaria fistulosa (barren areas);Laminariales;0.88;0.82;Schuster & Konar 2014
52°N;Eualaria fistulosa (barren areas);Laminariales;5.13;0.90;Schuster & Konar 2014
52°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.38;2.80;Schuster & Konar 2014
52°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.16;0.74;Schuster & Konar 2014
52°N;Fucus serratus;Fucales;8.19;0.19;Heffernan et al. 2015a
53°N;Ascophyllum nodosum;Fucales;6.66;0.70;Quéguineur et al. 2013
53°N;Ascophyllum nodosum;Fucales;12.74;0.75;Tierney et al. 2013a
53°N;Ascophyllum nodosum;Fucales;14.60;0.32;Tierney et al. 2013b
53°N;Cystoseira nodicaulis;Fucales;8.91;0.26;Heffernan et al. 2015b
53°N;Eualaria fistulosa (barren areas);Laminariales;4.40;0.99;Schuster & Konar 2014
53°N;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.06;1.24;Schuster & Konar 2014
53°N;Fucus serratus;Fucales;18.06;1.70;Heffernan et al. 2015b
53°N;Fucus spiralis;Fucales;18.75;0.97;Tierney et al. 2013a
53°N;Fucus spiralis;Fucales;12.86;0.06;Tierney et al. 2013b
53°N;Fucus vesiculosus;Fucales;23.20;0.90;Heffernan et al. 2015b
53°N;Himanthalia elongata;Fucales;19.83;0.92;Heffernan et al. 2015b
53°N;Himanthalia elongata;Fucales;2.79;0.55;Quéguineur et al. 2013
53°N;Pelvetia canaliculata;Fucales;6.82;0.34;Tierney et al. 2013a
53°N;Pelvetia canaliculata;Fucales;13.33;0.00;Tierney et al. 2013b
53°N;Sargassum muticum;Fucales;0.85;0.12;Tanniou et al. 2014
54°N;Ascophyllum nodosum;Fucales;6.46;n.g.;Pavia et al. 2003
54°N;Ascophyllum nodosum (site 1 1992);Fucales;11.55;n.g.;Pavia et al. 1999
54°N;Ascophyllum nodosum (site 1 1993);Fucales;8.22;n.g.;Pavia et al. 1999
54°N;Ascophyllum nodosum (site 2 1992);Fucales;8.67;n.g.;Pavia et al. 1999
54°N;Ascophyllum nodosum (site 2 1993);Fucales;6.78;n.g.;Pavia et al. 1999
54°N;Ascophyllum nodosum (site 3 1992);Fucales;7.56;n.g.;Pavia et al. 1999
54°N;Ascophyllum nodosum (site 3 1993);Fucales;6.67;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum;Fucales;4.00;n.g.;Pavia & Toth 2000
58°N;Ascophyllum nodosum;Fucales;5.81;n.g.;Pavia et al. 2003
58°N;Ascophyllum nodosum;Fucales;3.50;n.g.;Toth & Pavia 2000
58°N;Ascophyllum nodosum;Fucales;5.59;0.60;Toth et al. 2007
58°N;Ascophyllum nodosum (site 1 1992);Fucales;6.22;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum (site 1 1993);Fucales;7.33;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum (site 2 1992);Fucales;7.78;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum (site 2 1993);Fucales;8.22;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum (site 3 1992);Fucales;7.11;n.g.;Pavia et al. 1999
58°N;Ascophyllum nodosum (site 3 1993);Fucales;8.22;n.g.;Pavia et al. 1999
58°N;Fucus radicans;Fucales;2.30;n.g.;Forslund et al. 2012
58°N;Fucus vesiculosus;Fucales;4.90;n.g.;Forslund et al. 2012
58°N;Laminaria hyperborea;Laminariales;2.96;1.14;Toth & Pavia 2002
59°N;Agarum clathratum (blade summer);Laminariales;6.43;n.g.;Dubois & Iken 2012
59°N;Agarum clathratum (blade winter);Laminariales;5.14;n.g.;Dubois & Iken 2012
59°N;Agarum clathratum (stipe summer);Laminariales;4.71;n.g.;Dubois & Iken 2012
59°N;Agarum clathratum (stipe winter);Laminariales;4.29;n.g.;Dubois & Iken 2012
59°N;Fucus vesiculosus;Fucales;6.92;1.49;Koivikko et al. 2008
59°N;Nereocystis luetkeana (blade summer);Laminariales;1.93;n.g.;Dubois & Iken 2012
59°N;Nereocystis luetkeana (blade winter);Laminariales;0.43;n.g.;Dubois & Iken 2012
59°N;Nereocystis luetkeana (stipe summer);Laminariales;0.29;n.g.;Dubois & Iken 2012
59°N;Nereocystis luetkeana (stipe winter);Laminariales;0.21;n.g.;Dubois & Iken 2012
59°N;Saccharina groenlandica (blade summer);Laminariales;3.43;n.g.;Dubois & Iken 2012
59°N;Saccharina groenlandica (blade winter);Laminariales;4.36;n.g.;Dubois & Iken 2012
59°N;Saccharina groenlandica (stipe summer);Laminariales;1.00;n.g.;Dubois & Iken 2012
59°N;Saccharina groenlandica (stipe winter);Laminariales;1.93;n.g.;Dubois & Iken 2012
59°N;Saccharina latissima (blade summer);Laminariales;4.71;n.g.;Dubois & Iken 2012
59°N;Saccharina latissima (blade winter);Laminariales;6.29;n.g.;Dubois & Iken 2012
59°N;Saccharina latissima (stipe summer);Laminariales;35.71;n.g.;Dubois & Iken 2012
59°N;Saccharina latissima (stipe winter);Laminariales;35.86;n.g.;Dubois & Iken 2012
60°N;Fucus vesiculosus;Fucales;4.60;0.77;Jormalainen et al. 2003
60°N;Fucus vesiculosus;Fucales;7.99;0.23;Koivikko et al. 2005
60°N;Fucus vesiculosus;Fucales;7.47;1.52;Koivikko et al. 2008
60°N;Fucus vesiculosus (control sites apical parts);Fucales;9.17;7.52;Hemmi et al. 2005
60°N;Fucus vesiculosus (control sites basal parts);Fucales;9.34;8.85;Hemmi et al. 2005
60°N;Fucus vesiculosus (exposed. atached);Fucales;5.60;1.60;Ilvessalo & Tuomi 1989
60°N;Fucus vesiculosus (fertile - 1 year old);Fucales;4.90;0.50;Tuomi et al. 1989
60°N;Fucus vesiculosus (fertile - 1 year old);Fucales;5.00;0.70;Tuomi et al. 1989
60°N;Fucus vesiculosus (fertile - 1 year old);Fucales;5.20;0.80;Tuomi et al. 1989
60°N;Fucus vesiculosus (fertile - receptacle);Fucales;1.90;0.60;Tuomi et al. 1989
60°N;Fucus vesiculosus (fertile - receptacle);Fucales;1.30;0.70;Tuomi et al. 1989
60°N;Fucus vesiculosus (fertile - receptacle);Fucales;1.60;0.50;Tuomi et al. 1989
60°N;Fucus vesiculosus (fish farms apical parts);Fucales;10.93;5.93;Hemmi et al. 2005
60°N;Fucus vesiculosus (fish farms basal parts);Fucales;10.85;8.18;Hemmi et al. 2005
60°N;Fucus vesiculosus (sheltered. attached);Fucales;8.60;1.00;Ilvessalo & Tuomi 1989
60°N;Fucus vesiculosus (sheltered. loose);Fucales;9.90;1.50;Ilvessalo & Tuomi 1989
60°N;Fucus vesiculosus (vegetative - 1 year old);Fucales;4.70;0.50;Tuomi et al. 1989
60°N;Fucus vesiculosus (vegetative - 1 year old);Fucales;5.30;0.10;Tuomi et al. 1989
60°N;Fucus vesiculosus (vegetative - 1 year old);Fucales;6.10;0.90;Tuomi et al. 1989
60°N;Fucus vesiculosus (vegetative - apical);Fucales;3.10;0.30;Tuomi et al. 1989
60°N;Fucus vesiculosus (vegetative - apical);Fucales;4.80;1.20;Tuomi et al. 1989
60°N;Fucus vesiculosus (vegetative - apical);Fucales;6.20;0.90;Tuomi et al. 1989
60°N;Sargassum muticum;Fucales;1.79;0.28;Tanniou et al. 2014
61°N;Ascophyllum nodosum;Fucales;0.80;n.g.;Pedersen 1984
61°N;Fucus vesiculosus;Fucales;6.01;1.25;Koivikko et al. 2008
61°N;Fucus vesiculosus;Fucales;4.80;n.g.;Pedersen 1984
64°N;Fucus vesiculosus;Fucales;30.00;n.g.;Wang et al. 2012
